2014-08-02 19:24:04 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 16]
2014-08-02 19:24:04 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\right.ctp, line 18]
2014-08-02 19:24:05 Debug: Notice (8): Undefined variable: shop_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 11]
2014-08-02 19:24:05 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 16]
2014-08-02 19:24:05 Debug: Notice (8): Undefined variable: user_id in [E:\xampp\htdocs\freewebmobile.mobi\app\views\elements\themeshop\home\footer.ctp, line 18]
2014-08-02 20:07:12 Debug: Notice (8): Undefined property: BepgaController::$Estore_banner in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\bepga_controller.php, line 108]
2014-08-03 09:39:48 Debug: Notice (8): Undefined variable: namecontroll in [E:\xampp\htdocs\freewebmobile.mobi\app\controllers\bepga_controller.php, line 1260]
2014-08-03 09:39:48 Debug: Notice (8): Undefined variable: shopingcart in [E:\xampp\htdocs\freewebmobile.mobi\app\views\bepga\addshopingcart.ctp, line 27]
2014-08-04 09:03:45 Debug: Notice (8): Undefined index: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 482]
2014-08-04 09:12:29 Debug: Notice (8): Undefined index: password in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 486]
2014-08-04 09:12:29 Debug: Notice (8): Undefined index: username in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 487]
2014-08-04 09:12:29 Debug: Notice (8): Undefined index: hostname in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 488]
2014-08-04 09:23:03 Debug: Notice (8): Undefined variable: dbConnectionManager in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 497]
2014-08-04 09:28:24 Debug: Notice (8): Undefined variable: db1 in [E:\xampp\htdocs\freemobiweb.mobi\app\controllers\testcreatwebsite001_controller.php, line 531]
2014-08-04 11:55:07 Debug: Notice (8): Undefined variable: shoparr in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 120]
2014-08-04 11:55:07 Debug: Notice (8): Undefined variable: hostname in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 132]
2014-08-04 11:55:07 Debug: Notice (8): Undefined variable: username in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 133]
2014-08-04 11:55:07 Debug: Notice (8): Undefined variable: password in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 134]
2014-08-04 11:55:07 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 135]
2014-08-04 11:55:07 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 141]
2014-08-04 11:55:07 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 142]
2014-08-04 12:03:52 Debug: Notice (8): Undefined variable: shoparr in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 120]
2014-08-04 12:03:52 Debug: Notice (8): Undefined variable: hostname in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 132]
2014-08-04 12:03:52 Debug: Notice (8): Undefined variable: username in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 133]
2014-08-04 12:03:52 Debug: Notice (8): Undefined variable: password in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 134]
2014-08-04 12:03:52 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 135]
2014-08-04 12:03:52 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 141]
2014-08-04 12:03:52 Debug: Notice (8): Undefined variable: databasename in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 142]
2014-08-04 12:04:12 Debug: Notice (8): Undefined variable: shoparr in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 120]
2014-08-04 12:04:12 Debug: Notice (8): Undefined variable: hostname in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 132]
2014-08-04 12:04:12 Debug: Notice (8): Undefined variable: username in [E:\xampp\htdocs\freemobiweb.mobi\app\views\elements\themeshop\home\left.ctp, line 133]
